CODCOMP,DPTO,NOMDPTO,NOMLOC,P_TOT,CODLOC
"0101001001","01",MONTEVIDEO,MONTEVIDEO,"6","01020"
"0101001003","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101001004","01",MONTEVIDEO,MONTEVIDEO,"3","01020"
"0101001005","01",MONTEVIDEO,MONTEVIDEO,"57","01020"
"0101001007","01",MONTEVIDEO,MONTEVIDEO,"141","01020"
"0101001008","01",MONTEVIDEO,MONTEVIDEO,"38","01020"
"0101001010","01",MONTEVIDEO,MONTEVIDEO,"96","01020"
"0101001011","01",MONTEVIDEO,MONTEVIDEO,"89","01020"
"0101001012","01",MONTEVIDEO,MONTEVIDEO,"216","01020"
"0101001400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101001600","01",MONTEVIDEO,MONTEVIDEO,"50","01020"
"0101001601","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101002004","01",MONTEVIDEO,MONTEVIDEO,"4","01020"
"0101002005","01",MONTEVIDEO,MONTEVIDEO,"2","01020"
"0101002006","01",MONTEVIDEO,MONTEVIDEO,"5","01020"
"0101002007","01",MONTEVIDEO,MONTEVIDEO,"3","01020"
"0101002008","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101002009","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101002010","01",MONTEVIDEO,MONTEVIDEO,"15","01020"
"0101002011","01",MONTEVIDEO,MONTEVIDEO,"89","01020"
"0101002012","01",MONTEVIDEO,MONTEVIDEO,"159","01020"
"0101002013","01",MONTEVIDEO,MONTEVIDEO,"198","01020"
"0101002014","01",MONTEVIDEO,MONTEVIDEO,"122","01020"
"0101002015","01",MONTEVIDEO,MONTEVIDEO,"63","01020"
"0101002400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101002401","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101002402","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101002600","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101003001","01",MONTEVIDEO,MONTEVIDEO,"214","01020"
"0101003002","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101003003","01",MONTEVIDEO,MONTEVIDEO,"19","01020"
"0101003004","01",MONTEVIDEO,MONTEVIDEO,"179","01020"
"0101003005","01",MONTEVIDEO,MONTEVIDEO,"37","01020"
"0101003006","01",MONTEVIDEO,MONTEVIDEO,"42","01020"
"0101003007","01",MONTEVIDEO,MONTEVIDEO,"53","01020"
"0101003008","01",MONTEVIDEO,MONTEVIDEO,"59","01020"
"0101003010","01",MONTEVIDEO,MONTEVIDEO,"111","01020"
"0101003011","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101003012","01",MONTEVIDEO,MONTEVIDEO,"4","01020"
"0101003400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101003401","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101003402","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101003600","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0101003800","01",MONTEVIDEO,MONTEVIDEO,"57","01020"
"0101003801","01",MONTEVIDEO,MONTEVIDEO,"11","01020"
"0101104001","01",MONTEVIDEO,MONTEVIDEO,"145","01020"
"0101104002","01",MONTEVIDEO,MONTEVIDEO,"171","01020"
"0101104006","01",MONTEVIDEO,MONTEVIDEO,"50","01020"
