,CODLOC_STR,NOMBLOC,POBLACION,CANT_FARMACIAS
5,02522,TOMAS GOMENSORO,2659.0,2
6,02621,BALTASAR BRUM,2531.0,1
17,02831,PORT. DE HIERRO Y CAMPODONICO,323.0,1
54,03622,ESTACION ATLANTIDA,2274.0,1
55,03624,CERRILLOS,2508.0,1
57,03626,MIGUES,2109.0,2
59,03628,SAN BAUTISTA,1973.0,1
69,03724,LA FLORESTA,1595.0,3
74,03730,SAN ANTONIO,1489.0,1
75,03731,AEROPUERTO INTERNACIONAL DE CARRASCO,90.0,2
80,03826,COSTA AZUL,965.0,2
81,03827,COSTA Y GUILLAMON,550.0,1
99,03910,CITY GOLF,1104.0,2
106,03925,BELLO HORIZONTE,416.0,1
107,03926,BIARRITZ,57.0,1
112,03935,CUCHILLA ALTA,527.0,1
113,03939,EL BOSQUE,988.0,3
118,03946,JAUREGUIBERRY,458.0,1
127,03968,PIEDRA DEL TORO,332.0,1
129,03970,EL GALEON,192.0,1
134,03980,VILLA ARGENTINA,622.0,1
135,03984,VILLA PORVENIR,507.0,1
144,03993,LOMAS DE CARRASCO,806.0,1
145,03994,CARMEL,80.0,1
148,03997,ALTOS DE LA TAHONA,168.0,1
152,04621,TUPAMBAE,1122.0,1
154,04821,ACEGUA,1511.0,1
196,05798,AGRACIADA,192.0,1
202,05831,MIGUELETE,999.0,1
212,05951,LOS PINOS,193.0,1
215,05959,PLAYA AZUL,25.0,1
216,05960,PLAYA BRITOPOLIS,107.0,1
217,05961,PLAYA PARANT,45.0,1
218,05962,PLAYA FOMENTO,84.0,1
238,06722,CENTENARIO,1136.0,1
240,06790,CERRO CHATO,1124.0,2
251,07721,ISMAEL CORTINAS,918.0,1
252,07900,RURAL,2068.0,6
259,08521,CASUPA,2402.0,1
260,08621,CARDAL,1202.0,1
263,08624,25 DE MAYO,1852.0,1
265,08722,CAPILLA DEL SAUCE,835.0,1
267,08724,NICO PEREZ,1030.0,1
268,08790,CERRO CHATO,409.0,2
271,08823,MENDOZA,730.0,1
289,09521,JOSE BATLLE Y ORDOÑEZ,2203.0,1
291,09621,MARISCALA,1626.0,1
292,09622,SOLIS DE MATAOJO,2825.0,1
310,10521,AIGUA,2465.0,1
320,10828,SOLIS,288.0,1
329,10926,BELLA VISTA,141.0,1
332,10934,EL CHORRO,392.0,1
334,10936,EL TESORO,1396.0,1
337,10942,LA BARRA,339.0,1
339,10945,LAS FLORES,241.0,1
340,10947,MANANTIALES,149.0,1
344,10955,PLAYA VERDE,269.0,1
345,10956,PUNTA BALLENA,750.0,2
348,10962,RUTA 37 Y 9,62.0,2
351,10973,BALNEARIO BUENOS AIRES,1551.0,1
358,10986,LA SONRISA,1562.0,2
360,10988,LAGUNA BLANCA,4.0,1
400,11959,TERMAS DE GUAVIYU,38.0,1
405,12622,SAN JAVIER,1781.0,1
406,12722,BARRIO ANGLO,785.0,2
447,14622,VELAZQUEZ,1022.0,1
463,14942,LA PEDRERA,225.0,1
468,14960,PTA. RUBIA Y STA. ISABEL DE LA PEDRERA,94.0,1
469,14962,PUNTA DEL DIABLO,823.0,1
518,16621,RODRIGUEZ,2604.0,1
520,16722,SANTA MONICA,1662.0,1
526,16826,RAFAEL PERAZA,1277.0,2
534,16929,ECILDA PAULLIER,2585.0,2
535,16932,KIYU-ORDEIG,423.0,1
552,17621,JOSE ENRIQUE RODO,2120.0,2
553,17622,PALMITAS,2123.0,1
558,17798,AGRACIADA,394.0,1
560,17823,RISSO,557.0,1
569,17950,CHACRAS DE DOLORES,1961.0,4
578,18722,ANSINA,2712.0,1
584,18828,LAS TOSCAS,1142.0,2
605,19521,SANTA CLARA DE OLIMAR,2341.0,1
610,19790,CERRO CHATO,1694.0,2
