,CODLOC_STR,NOMBLOC,POBLACION,CANT_FARMACIAS
0,01020,MONTEVIDEO,1304729.0,172
1,01900,RURAL,14026.0,11
2,02000,LIMITE CONTESTADO,0.0,0
3,02220,ARTIGAS,40657.0,5
4,02521,BELLA UNION,12200.0,4
5,02522,TOMAS GOMENSORO,2659.0,2
6,02621,BALTASAR BRUM,2531.0,1
7,02721,BERNABE RIVERA,380.0,0
8,02724,FRANQUIA,935.0,0
9,02725,SEQUEIRA,1149.0,0
10,02822,CORONADO,438.0,0
11,02823,CUAREIM,710.0,0
12,02824,CUARO,113.0,0
13,02826,JAVIER DE VIANA,140.0,0
14,02827,LA BOLSA,16.0,0
15,02828,LAS PIEDRAS,2771.0,0
16,02830,PINTADITO,1642.0,0
17,02831,PORT. DE HIERRO Y CAMPODONICO,323.0,1
18,02833,MONES QUINTELA,531.0,0
19,02900,RURAL,3524.0,3
20,02925,CAINSA,355.0,0
21,02927,PASO CAMPAMENTO,264.0,0
22,02934,DIEGO LAMAS,128.0,0
23,02945,PASO FARIAS,38.0,0
24,02952,RINCON DE PACHECO,27.0,0
25,02957,TOPADOR,124.0,0
26,02958,CERRO EJIDO,790.0,0
27,02959,COLONIA PALMA,440.0,0
28,02961,CERRO SIGNORELLI (EL MIRADOR),52.0,0
29,02962,CERRO SAN EUGENIO,425.0,0
30,02963,CALNU,15.0,0
31,03221,LAS PIEDRAS,71258.0,10
32,03320,CANELONES,19865.0,3
33,03321,LA PAZ,20524.0,5
34,03322,PANDO,25947.0,7
35,03323,SANTA LUCIA,16742.0,2
36,03324,PIEDRAS DE AFILAR,132.0,0
37,03325,CUMBRES DE CARRASCO,32.0,0
38,03326,HARAS DEL LAGO,68.0,0
39,03327,QUINTA LOS HORNEROS,7.0,0
40,03328,LAS HIGUERITAS,0.0,0
41,03329,SOFIA SANTOS,54.0,0
42,03421,PROGRESO,16244.0,2
43,03422,SAN RAMON,7133.0,1
44,03521,BARROS BLANCOS,31650.0,7
45,03523,COLONIA NICOLICH,9624.0,1
46,03524,JOAQUIN SUAREZ,6570.0,0
47,03525,PASO CARRASCO,15908.0,4
48,03526,SANTA ROSA,3727.0,2
49,03527,SAUCE,6132.0,1
50,03528,TALA,5089.0,1
51,03529,VILLA CRESPO Y SAN ANDRES,9813.0,1
52,03530,FRACC. CNO. ANDALUZ Y R.84,9295.0,0
53,03621,ATLANTIDA,5562.0,4
54,03622,ESTACION ATLANTIDA,2274.0,1
55,03624,CERRILLOS,2508.0,1
56,03625,EMPALME OLMOS,4199.0,1
57,03626,MIGUES,2109.0,2
58,03627,PARQUE DEL PLATA,7896.0,1
59,03628,SAN BAUTISTA,1973.0,1
60,03629,SAN JACINTO,4510.0,1
61,03630,DR. FRANCISCO SOCA,1797.0,0
62,03631,TOLEDO,4397.0,1
63,03632,MONTES,1760.0,0
64,03633,SAN JOSE DE CARRASCO,7288.0,6
65,03634,FRACC. SOBRE RUTA 74,1513.0,0
66,03721,AGUAS CORRIENTES,1047.0,0
67,03722,BARRA DE CARRASCO,5410.0,3
68,03723,JUANICO,1305.0,0
69,03724,LA FLORESTA,1595.0,3
70,03725,ESTACION LA FLORESTA,1313.0,0
71,03726,LAS TOSCAS,3146.0,0
72,03727,PARQUE CARRASCO,8628.0,6
73,03729,SALINAS,8626.0,2
74,03730,SAN ANTONIO,1489.0,1
75,03731,AEROPUERTO INTERNACIONAL DE CARRASCO,90.0,2
76,03732,SOLYMAR,18573.0,3
77,03733,VILLA AEROPARQUE,4307.0,0
78,03823,CASTELLANOS,520.0,0
79,03825,BARRIO COPOLA,826.0,0
80,03826,COSTA AZUL,965.0,2
81,03827,COSTA Y GUILLAMON,550.0,1
82,03828,EL PINAR,21091.0,2
83,03829,ESTACION MIGUES,144.0,0
84,03830,PINAMAR - PINEPARK,4724.0,1
85,03831,LAGOMAR,8066.0,5
86,03832,OLMOS,662.0,0
87,03833,PARADA CABRERA,409.0,0
88,03834,SAN LUIS,1878.0,0
89,03835,SHANGRILA,3195.0,4
90,03836,TOTORAL DEL SAUCE,746.0,0
91,03837,VILLA FELICIDAD,1344.0,0
92,03838,VILLA PAZ S.A.,542.0,0
93,03839,VILLA SAN JOSE,1419.0,0
94,03840,ESTACION TAPIA,213.0,0
95,03880,VILLA SAN FELIPE,242.0,0
96,03881,VILLA HADITA,235.0,0
97,03882,PASO DE PACHE,147.0,0
98,03900,RURAL,48219.0,27
99,03910,CITY GOLF,1104.0,2
100,03911,VIEJO MOLINO SAN BERNARDO,456.0,0
101,03912,ESTANQUE DE PANDO,770.0,0
102,03913,JARDINES DE PANDO,756.0,0
103,03914,PASO ESPINOSA,333.0,0
104,03921,ARAMINDA,152.0,0
105,03922,ARGENTINO,68.0,0
106,03925,BELLO HORIZONTE,416.0,1
107,03926,BIARRITZ,57.0,1
108,03927,BOLIVAR,139.0,0
109,03928,CAMPO MILITAR,299.0,0
110,03929,CAPILLA DE CELLA,119.0,0
111,03934,CRUZ DE LOS CAMINOS,279.0,0
112,03935,CUCHILLA ALTA,527.0,1
113,03939,EL BOSQUE,988.0,3
114,03942,ESTACION PEDRERA,140.0,0
115,03943,FORTIN DE SANTA ROSA,296.0,0
116,03944,FRACC. PROGRESO,145.0,0
117,03945,INSTITUTO ADVENTISTA,183.0,0
118,03946,JAUREGUIBERRY,458.0,1
119,03948,LA LUCHA,492.0,0
120,03949,LA MONTAÑESA,396.0,0
121,03953,LOMAS DE SOLYMAR,19124.0,3
122,03956,LOS TITANES,153.0,0
123,03957,MARINDIA,3543.0,2
124,03959,NEPTUNIA,4774.0,0
125,03962,PASO DE LA CADENA,142.0,0
126,03966,PASO PALOMEQUE,98.0,0
127,03968,PIEDRA DEL TORO,332.0,1
128,03969,ESTACION PIEDRAS DE AFILAR,91.0,0
129,03970,EL GALEON,192.0,1
130,03974,SANTA ANA,273.0,0
131,03975,SANTA LUCIA DEL ESTE,286.0,0
132,03978,SEIS HERMANOS,622.0,0
133,03979,VILLA AREJO,147.0,0
134,03980,VILLA ARGENTINA,622.0,1
135,03984,VILLA PORVENIR,507.0,1
136,03985,LA TUNA,204.0,0
137,03986,GUAZU - VIRA,86.0,0
138,03987,COLINAS DE SOLYMAR,2813.0,0
139,03988,BARRIO REMANSO,178.0,0
140,03989,VILLA EL TATO,615.0,0
141,03990,VILLA SAN CONO,137.0,0
142,03991,VILLA JUANA,44.0,0
143,03992,COLINAS DE CARRASCO,56.0,0
144,03993,LOMAS DE CARRASCO,806.0,1
145,03994,CARMEL,80.0,1
146,03995,LA ASUNCION,184.0,0
147,03996,QUINTAS DEL BOSQUE,57.0,0
148,03997,ALTOS DE LA TAHONA,168.0,1
149,04220,MELO,51830.0,6
150,04521,FRAILE MUERTO,3168.0,0
151,04522,RIO BRANCO,14604.0,1
152,04621,TUPAMBAE,1122.0,1
153,04721,ISIDORO NOBLIA,2331.0,0
154,04821,ACEGUA,1511.0,1
155,04822,BAÑADO DE MEDINA,207.0,0
156,04823,CENTURION,35.0,0
