CODCOMP_STR,POBLACION
0100000000,0.0
0100000900,0.0
0101001001,78.0
0101001003,0.0
0101001004,45.0
0101001005,570.0
0101001007,1692.0
0101001008,494.0
0101001010,1440.0
0101001011,1068.0
0101001012,2808.0
0101001400,0.0
0101001600,650.0
0101001601,0.0
0101002004,60.0
0101002005,32.0
0101002006,70.0
0101002007,45.0
0101002008,0.0
0101002009,0.0
0101002010,240.0
0101002011,1335.0
0101002012,2544.0
0101002013,3168.0
0101002014,2196.0
0101002015,1134.0
0101002400,0.0
0101002401,0.0
0101002402,0.0
0101002600,0.0
0101003001,2996.0
0101003002,0.0
0101003003,266.0
0101003004,3043.0
0101003005,444.0
0101003006,546.0
0101003007,795.0
0101003008,708.0
0101003010,1776.0
0101003011,0.0
0101003012,64.0
0101003400,0.0
0101003401,0.0
0101003402,0.0
0101003600,0.0
0101003800,798.0
0101003801,132.0
0101104001,2320.0
0101104002,2907.0
0101104006,850.0
0101104007,4352.0
0101104008,4420.0
0101105001,5292.0
0101105002,5355.0
0101105006,1224.0
0101105007,2397.0
0101204003,2227.0
0101204004,4878.0
0101204005,3888.0
0101204009,1512.0
0101204010,988.0
0101205003,6188.0
0101205004,1242.0
0101205005,209.0
0101205008,3536.0
0101205009,6120.0
0101205010,0.0
0101205500,0.0
0102001001,0.0
0102001002,6.0
0102001003,0.0
0102001004,120.0
0102001005,294.0
0102001006,432.0
0102001007,8.0
0102001009,510.0
0102001010,468.0
0102001011,40.0
0102001012,402.0
0102001400,0.0
0102001401,0.0
0102001500,0.0
0102001600,0.0
0102001601,0.0
0102003001,288.0
0102003002,50.0
0102003003,0.0
0102003004,0.0
0102003005,0.0
0102003006,570.0
0102003007,2330.0
0102003008,144.0
0102003009,750.0
0102003010,930.0
0102003011,2750.0
0102004001,210.0
0102004002,290.0
0102004003,1020.0
0102004004,1012.0
0102004005,30.0
0102004006,200.0
0102004007,80.0
0102004008,0.0
0102102001,0.0
0102102002,4.0
0102102003,212.0
0102102004,372.0
0102102005,0.0
0102102006,0.0
0102102007,378.0
0102102008,616.0
0102102009,680.0
0102102013,512.0
0102202010,88.0
0102202011,392.0
0102202012,432.0
0102202014,117.0
0102202015,0.0
0102202016,1050.0
0102202017,520.0
0102202018,676.0
0103003001,450.0
0103003002,290.0
0103003003,160.0
0103003004,110.0
0103003005,0.0
0103003006,1032.0
0103003007,1116.0
0103003008,180.0
0103003009,880.0
0103003010,1746.0
0103101001,8.0
0103101002,416.0
0103101003,712.0
0103101004,676.0
0103101010,296.0
0103101011,736.0
0103101012,588.0
0103101400,0.0
0103101401,0.0
0103101402,0.0
0103101500,0.0
0103101501,0.0
0103101600,4.0
0103102002,50.0
0103102003,348.0
0103102004,720.0
0103102010,585.0
0103102400,0.0
0103102600,480.0
0103104001,2205.0
0103104002,2500.0
0103104012,1620.0
0103104400,0.0
0103104401,0.0
0103104500,0.0
0103104600,360.0
0103201005,495.0
0103201006,784.0
0103201007,0.0
0103201008,973.0
0103201009,1548.0
0103202005,1210.0
0103202006,1316.0
0103202007,1890.0
0103202400,0.0
0103202500,0.0
0103202600,760.0
0103204003,2000.0
0103204004,2172.0
0103204005,1056.0
0103204006,884.0
0103204007,1404.0
0103204010,0.0
0103204400,0.0
0103204500,0.0
0103204600,0.0
0104001001,104.0
0104001002,65.0
0104001003,1274.0
0104001004,0.0
0104001005,247.0
0104001006,0.0
0104001007,0.0
0104001008,0.0
0104001009,6018.0
0104001010,0.0
0104001011,2235.0
0104001012,3680.0
0104001500,0.0
0104102001,1736.0
0104102003,3060.0
0104102004,4035.0
0104102006,5670.0
0104102400,0.0
0104102401,0.0
0104102402,0.0
0104102403,0.0
0104102500,0.0
0104102600,0.0
0104102601,0.0
0104102602,0.0
0104103001,5744.0
0104103002,3536.0
0104103005,4496.0
0104103006,4192.0
0104103009,5895.0
0104103010,4672.0
0104104001,3660.0
0104104002,4830.0
0104104005,5235.0
0104104006,2235.0
0104104009,1988.0
0104104010,3720.0
0104202007,4665.0
0104202009,3514.0
0104202010,5460.0
0104202012,0.0
0104202013,0.0
0104202400,0.0
0104202401,0.0
0104202402,0.0
0104202500,0.0
0104202600,0.0
0104203003,2394.0
0104203004,6878.0
0104203007,3510.0
0104203008,5605.0
0104203011,4224.0
0104203012,3636.0
0104204003,2010.0
0104204004,5958.0
0104204007,4560.0
0104204008,4752.0
0104204011,4365.0
0104204012,3585.0
0104204013,2128.0
0105101001,6859.0
0105101002,200.0
0105101008,3920.0
0105101009,2960.0
0105101010,2970.0
0105101011,5776.0
0105101400,0.0
0105101500,0.0
0105101501,0.0
0105102001,5660.0
0105102002,7436.0
0105102007,1860.0
0105102008,5035.0
0105102600,0.0
0105102601,759.0
0105103001,4726.0
0105103002,4500.0
0105103007,4662.0
0105103008,1768.0
0105103009,3165.0
0105103010,3808.0
0105104001,3726.0
0105104002,5022.0
0105104007,2312.0
0105104008,4284.0
0105104009,3655.0
0105104010,1890.0
0105105009,774.0
0105105010,1952.0
0105105011,1792.0
0105105012,2570.0
0105105013,2959.0
0105105014,2952.0
0105105015,2977.0
0105105400,0.0
0105105500,0.0
0105106001,112.0
0105106002,2587.0
0105106003,2561.0
0105106004,2873.0
0105106005,1053.0
0105106006,2904.0
0105201004,6552.0
0105201005,4940.0
0105201006,3914.0
0105201007,1428.0
0105201012,6680.0
0105201013,4716.0
0105202005,2286.0
0105202009,7940.0
0105202010,6750.0
0105202011,3210.0
0105202400,0.0
0105202600,3021.0
0105202601,0.0
0105202602,0.0
0105203003,1734.0
0105203004,4097.0
0105203005,3927.0
0105203006,3825.0
0105203011,2608.0
0105203012,3760.0
0105204003,1335.0
0105204004,1815.0
0105204005,3976.0
0105204006,3332.0
0105204011,1118.0
0105204012,2938.0
0105205002,6525.0
0105205003,2235.0
0105205004,2058.0
0105205005,855.0
0105205006,1560.0
0105205007,0.0
0105205400,0.0
0105205500,0.0
0105205600,3724.0
0105205601,0.0
0105205602,602.0
0105205603,0.0
0105206007,3840.0
0105206008,1551.0
0105206009,42.0
0105206010,1813.0
0105206011,1236.0
0105206013,0.0
0105206400,0.0
0105206500,0.0
0106101006,2108.0
0106101007,4914.0
0106101010,627.0
0106101011,0.0
0106101400,0.0
0106101402,0.0
0106101403,0.0
0106101404,0.0
0106101405,0.0
0106101406,0.0
0106101500,0.0
0106101600,2329.0
0106101602,7486.0
0106101700,3434.0
0106102001,1936.0
0106102004,1717.0
0106102005,3186.0
0106102007,3582.0
0106102008,2880.0
0106102011,525.0
0106102012,3211.0
0106102400,0.0
0106102600,2016.0
0106103001,0.0
0106103002,3857.0
0106103003,420.0
0106103006,2090.0
0106103007,2440.0
0106103010,3154.0
0106103011,2508.0
0106104001,7282.0
0106104005,920.0
0106104009,3297.0
0106104010,7458.0
0106201004,2016.0
0106201005,1224.0
0106201009,2584.0
0106201012,0.0
0106201013,2900.0
0106201014,2603.0
0106201017,2260.0
0106201018,3325.0
0106201400,0.0
0106201401,0.0
0106201600,2413.0
0106201601,10526.0
0106202003,390.0
0106202006,6320.0
0106202009,3942.0
0106202010,3728.0
0106202013,3648.0
0106202014,4503.0
0106202015,2856.0
0106203004,1580.0
0106203005,2934.0
0106203008,5160.0
0106203009,4122.0
0106203012,1700.0
0106203013,2480.0
0106204002,7098.0
0106204003,3960.0
0106204004,2502.0
0106204006,5175.0
0106204008,4242.0
0106304007,3234.0
0106304011,6930.0
0106304012,8160.0
0107001001,1442.0
0107001002,2613.0
0107001003,1582.0
0107001004,1728.0
0107001005,616.0
0107001006,1920.0
0107001007,896.0
0107001008,1859.0
0107001009,1680.0
0107001010,130.0
0107001011,1140.0
0107009001,1914.0
0107009002,2124.0
0107009003,2761.0
