NOMBRE,DIRECCION,x,y,POBLACION
18 SAN JOSE,A. de Figueroa 600 e/ 18 de Julio,525932.023542683,6200117.73209313,15969.0
2212 NORTE,Inés Durán 657 e/ Carlos Mª Ramírez,509337.896202252,6291814.95149983,12426.0
25 DE MAYO - FLORIDA,19 de Junio 1195 esq. Gral F. Rivera,560609.350316288,6215780.23711918,2056.0
4 DE OCTUBRE,Luis A.de Herrera 456 e/ Artigas,526353.337393848,6199643.72916301,17465.0
626,Ruta 87 esq. Abaroré,606039.414019664,6151810.30184464,8148.0
ABE BELLINI,18 de Julio 582 e/ 25 de Mayo,526434.363763323,6200235.57718101,19097.0
ACOSTA,Durante y Montevideo s/n,584371.774215203,6187268.75614607,1788.0
AEROPUERTO,Av. Del Lago 2 y Carrá,586634.673130798,6141925.07351552,10167.0
AGRACIADA,Treinta y Tres y 19 de Abril,382715.646745624,6258275.54461998,688.0
AL MAR,Av. Tomás Berreta s/n,588424.062143109,6182235.77685117,3677.0
ALBISU,Uruguay 554,407898.953005601,6527071.7286625,15583.0
ALFA,Rincón 353,457961.052728045,6633414.5340271,2768.0
ALQUIMIA,Av. Artigas 829,562118.802211039,6268230.41523956,6277.0
ALVARIZA,Alvariza 831,690241.057058973,6148257.91026675,18845.0
ANTARES,Sarandí y Rivera,467538.548210403,6203017.80305621,9110.0
ANTARTIDA,Colonia 1475 BIS,574493.796529008,6137282.79518008,61633.0
AREVALO I,Treinta y Tres 1055,595362.539625559,6157337.53007517,14224.0
AREVALO II,25 de Agosto 928,595478.75498594,6157820.09441173,15328.0
AREVALO III,Francisco Menezes 1057,595482.029877308,6157549.4121522,14556.0
ARRECHEA,Av. Artigas y Palmar,571752.767299439,6163469.12932171,5621.0
ARRIETA,Gral. Artigas 928,369533.981242102,6251199.28028911,6924.0
ARTIGAS,Av. Artigas 698,441878.805591333,6652086.76197686,7460.0
ARTIGAS - OMBUES DE LAVALLE,Zorrilla de San Martín 1059,425244.635447881,6244449.88206386,3368.0
ASENCIO,Av. Asencio 1549,386866.681053592,6289396.71413303,13181.0
ATENEA 1,Giannattasio Km 27200,597727.082064643,6147770.11238331,9037.0
AVENDA II,Bvar. Artigas 186 bis,718803.218239296,6481999.16105537,3596.0
AVENIDA,Gral. Flores 685 e/ Cabrera y Garibaldi,571496.285796394,6156832.76531888,21183.0
BALNEARIO BUENOS AIRES,Calle 26 esquina 49,701479.500610234,6137056.51692747,1416.0
BARCELONA,Bulevar España 2319,576252.164885854,6136609.87552748,59313.0
BARRIO FB 2000,Rep. de Chile y calle Pública,378606.114685843,6335024.44607585,11440.0
BARROS BLANCOS,Ruta 8 Km.25,590533.519432225,6153286.77981174,8020.0
BATLLE Y ORDOÑEZ,Batlle y Ordóñez 509,572097.551072106,6157051.25930153,18988.0
BELLINI,Fregeiro 738,404276.407631532,6319652.2099532,22395.0
BENGOECHEA - PASO DE LOS TOROS,Leandro Gómez 521,545889.0137423,6369410.93241362,5929.0
BERO,Bvar. Artigas 358,546219.224505428,6369332.29920169,4191.0
BERSANA - TRANQUERAS,18 de Julio 550,617426.017883919,6548730.6506858,4990.0
BERSANA II - LA PAZ,Av. Artigas 265,571016.392007768,6153026.24452661,15007.0
BIDEGAIN,25 de Agosto 980,534924.657488923,6167467.65305243,9721.0
BIKINI,Ruta 10 Km 164,698530.679934126,6135319.07229486,392.0
BOASSO,Rivera s/n,671978.884319642,6294974.34120172,2346.0
BOLOGNA,Av. República Argentina s/n,618121.662939744,6153716.5216243,2902.0
BORRAS,Ituzaingó 399 y 25 de Mayo,467657.02284501,6203082.71529522,8867.0
BRICCOLA,Santiago Rodríguez 915,542337.957064786,6195393.73203342,3241.0
BRISAN,María Olimpia y 18 de Julio ,596157.007283534,6490405.21182275,17780.0
CACERES,Bulevar España 2941,577657.946360409,6136076.70454099,60315.0
CALERO,Uruguay 1099,408600.124077875,6527013.67775609,20800.0
CAMAÑO,Brito del Pino 1314,576940.750719353,6137199.36734707,57653.0
CAROLI,Carmelo 2202,443527.031260666,6208423.14788684,6789.0
CASTILLOS,Olivera 1230,789285.565138402,6211268.6447005,6878.0
CEDEMCAR,Ejido 741,690900.896589569,6148540.15638586,15730.0
CERRILLOS,Gral. Máximo Tajes s/n ,558607.907445666,6170245.77950826,3790.0
CERRO CHATO,Julio A. Goday s/n,674195.858932177,6335098.33765739,2376.0
CHIAZZARO,Uruguay 666,408048.492078257,6527053.81410902,16658.0
CHIQUITIN,Av. Brasil 685,828652.346365249,6266245.66795744,5896.0
CHIQUITIN II,Av. Brasil 359,828951.319112301,6266219.00582774,4650.0
CINA CINA,Yamandú Gamba 94,609213.541153086,6390476.9723848,3315.0
CLAVIJO,Ruta 26 - Las Toscas,687531.101857259,6437517.18632249,1926.0
COLONIAL,Pedragosa Sierra y Bvar.Artigas,688451.545432929,6131058.09019875,2787.0
CONSTITUCION SUR,Camino Maldonado 5516,579944.983878316,6143707.14717504,23225.0
CORAL,Bvar. José Batlle y Ordóñez 1375,579507.63583255,6138447.88464567,38188.0
CORMAR,Calle 20 esq. 5,458496.556282615,6191409.23285958,4509.0
CREVOISIER,Av. 18 de Julio 1830,441045.946334143,6381656.18494951,11367.0
CRISTAL,Av. Gral Artigas 128,828581.904917007,6266208.15828146,6615.0
CUCHILLA ALTA,Av. Agustin Ponds s/n y Rambla,637633.119640127,6148642.21297778,665.0
DA COSTA,Gral. Flores 321,422125.261701013,6185359.26203027,5030.0
DANJOVI,Av. Río de la Plata Parada 5 y 1/2,550238.73617816,6155343.75871563,7022.0
DARIEL,Av. Artigas s/n,495805.418072803,6198191.36602189,2604.0
DE DEL,Luis A. de Herrera s/n,603499.800223619,6176997.81807399,4527.0
DE LA ALDEA,Av. Central s/n,819392.763164787,6227438.82317312,755.0
DE MARCO,Av. Luis Alberto de Herrera 2957,576867.94662873,6140541.30016501,32002.0
DEL 26,Ruta 1 Km 26.600 M. 192 S.3,555209.089216976,6152882.11742353,5959.0
DEL BRAVO,Av del Bravo 1175,370119.393805798,6250726.3014041,6408.0
DEL CAMINO,Av. Artigas y Municipio,570757.845004627,6156906.08060885,18684.0
DEL MIRADOR,Cno. de los Gauchos e/ Chiossi,687889.223107489,6136110.02295736,27770.0
DEL MOLINO,Dr. Pouey y Ramón Ortiz,571044.339142915,6155784.49063437,20190.0
DEL NAVIO,Av. del Navio y Lira ,759805.961121201,6160830.75742868,1640.0
DEL PARQUE,18 Julio 126,596895.238498148,6491181.70991196,12804.0
DEL PUEBLO - TACUAREMBO,25 de Mayo 187,596671.943252093,6491116.62912944,15333.0
